                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2365,                 10.449,                 2.4422,                  7e-05,                0.02187,                  6e-05,                  1e-05,                 2.9572,                 10.106,                 2.3694,                  4e-05,                  4e-05,                  4e-05
                      2,                  2.614,                 5.5138,                 2.0111,                0.72954,                0.04464,                0.03517,                0.02749,                 2.1024,                 7.7471,                  1.786,             8.4832e-05,             8.4832e-05,             8.4832e-05
                      3,                 2.0398,                 3.8493,                 1.6681,                0.56924,                0.55603,                0.58431,                0.32825,                 1.7677,                 3.2653,                 1.6148,             0.00012949,             0.00012949,             0.00012949
                      4,                 1.8007,                 2.7299,                 1.4966,                0.60829,                0.75389,                0.81093,                0.46347,                 1.5176,                 2.3917,                 1.4406,             0.00017396,             0.00017396,             0.00017396
                      5,                 1.5994,                 2.0157,                 1.3884,                 0.6243,                0.80117,                0.84386,                0.47674,                 1.4148,                 1.8073,                 1.3931,             0.00021826,             0.00021826,             0.00021826
                      6,                 1.5264,                 1.6241,                 1.3143,                0.56697,                 0.8156,                0.78531,                0.44727,                 1.3995,                 1.5965,                 1.3605,             0.00026238,             0.00026238,             0.00026238
                      7,                 1.4885,                 1.5372,                 1.3106,                   0.77,                0.76472,                0.82442,                0.50317,                 1.3071,                 1.3891,                 1.3137,             0.00030632,             0.00030632,             0.00030632
                      8,                 1.3681,                 1.4581,                 1.2396,                0.75544,                0.90482,                0.91241,                0.55672,                 1.3305,                 1.2298,                 1.3068,             0.00035008,             0.00035008,             0.00035008
                      9,                 1.2461,                 1.3748,                 1.2049,                 0.7239,                0.91951,                0.92344,                0.59723,                 1.1192,                 1.0194,                 1.1415,             0.00039366,             0.00039366,             0.00039366
                     10,                 1.1891,                 1.3432,                 1.1598,                0.78219,                0.93813,                0.92154,                0.58358,                 1.0796,                 1.0276,                 1.1216,             0.00043707,             0.00043707,             0.00043707
                     11,                 1.1642,                 1.2533,                 1.1434,                0.76323,                0.96564,                0.94525,                0.61913,                 1.0408,                0.99934,                 1.1198,              0.0004803,              0.0004803,              0.0004803
                     12,                  1.125,                 1.1929,                 1.1234,                0.75186,                0.92792,                0.91682,                0.59778,                 1.0297,                 1.0703,                 1.1049,             0.00048911,             0.00048911,             0.00048911
                     13,                 1.0635,                 1.2019,                 1.1034,                0.75134,                0.91551,                0.92203,                0.60456,                0.95326,                 1.0885,                 1.0718,             0.00048812,             0.00048812,             0.00048812
                     14,                0.99938,                 1.1494,                 1.0845,                0.72844,                0.96185,                0.93273,                0.61121,                0.89981,                 1.0159,                 1.0465,             0.00048713,             0.00048713,             0.00048713
                     15,                0.93727,                 1.1373,                 1.0776,                0.75623,                0.96502,                0.90033,                0.62791,                0.83967,                0.98121,                0.99974,             0.00048614,             0.00048614,             0.00048614
                     16,                0.90301,                 1.0864,                 1.0107,                0.73428,                0.89451,                0.89544,                0.57538,                0.93027,                 1.0023,                 1.0565,             0.00048515,             0.00048515,             0.00048515
                     17,                0.91369,                 1.0986,                 1.0507,                0.72458,                0.93881,                0.90572,                0.62545,                0.76541,                0.99202,                0.98137,             0.00048416,             0.00048416,             0.00048416
                     18,                 0.8573,                 1.0821,                 1.0064,                0.70588,                0.91303,                0.91803,                0.63923,                0.79255,                0.99181,                0.99109,             0.00048317,             0.00048317,             0.00048317
                     19,                0.83426,                 1.0897,                  1.027,                0.66037,                0.95889,                0.93626,                 0.6457,                0.72614,                0.96228,                0.96451,             0.00048218,             0.00048218,             0.00048218
                     20,                0.84516,                 1.0482,                 1.0022,                0.69968,                 0.9474,                0.89326,                0.60452,                0.75681,                0.99216,                0.96854,             0.00048119,             0.00048119,             0.00048119
                     21,                0.82131,                 1.0505,                0.98697,                0.69515,                 0.9592,                0.92399,                0.63764,                 0.7133,                 1.0199,                0.93682,              0.0004802,              0.0004802,              0.0004802
                     22,                0.77529,                  1.063,                0.99744,                0.67499,                0.90996,                0.89887,                  0.641,                0.68835,                 1.0116,                 0.9312,             0.00047921,             0.00047921,             0.00047921
                     23,                0.75736,                 1.0121,                0.96867,                0.71066,                0.93425,                0.90693,                0.62166,                0.69313,                0.96228,                0.93981,             0.00047822,             0.00047822,             0.00047822
                     24,                0.78325,                 1.0642,                0.99374,                0.76981,                0.96775,                0.90879,                0.66107,                0.63937,                0.94799,                0.90204,             0.00047723,             0.00047723,             0.00047723
                     25,                0.81137,                 1.0541,                0.99139,                0.79942,                0.96364,                0.92932,                0.66184,                0.64701,                 0.9918,                0.91478,             0.00047624,             0.00047624,             0.00047624
                     26,                0.74775,                 1.0683,                0.98415,                0.68681,                0.98864,                0.89526,                0.64414,                0.68545,                0.96594,                0.94658,             0.00047525,             0.00047525,             0.00047525
                     27,                0.77625,                  1.011,                0.96556,                0.68917,                0.96989,                0.93651,                0.64539,                0.61981,                0.94358,                0.91258,             0.00047426,             0.00047426,             0.00047426
                     28,                0.72572,                 1.0145,                0.95784,                0.72084,                0.96185,                0.89821,                0.63408,                0.59513,                0.95181,                0.89737,             0.00047327,             0.00047327,             0.00047327
                     29,                0.69984,                0.95153,                 0.9415,                0.73702,                0.94399,                0.90991,                 0.6448,                 0.5554,                0.93203,                 0.8779,             0.00047228,             0.00047228,             0.00047228
                     30,                0.72388,                0.98783,                0.96236,                0.69547,                0.90998,                0.91984,                0.64391,                0.57036,                0.90194,                0.89826,             0.00047129,             0.00047129,             0.00047129
                     31,                0.65022,                0.93246,                0.93805,                0.71779,                0.97317,                0.90593,                0.65937,                0.54446,                0.86309,                0.89151,              0.0004703,              0.0004703,              0.0004703
                     32,                0.67294,                0.96195,                0.94119,                 0.8005,                0.92719,                0.90536,                0.66814,                0.53853,                0.89676,                0.86983,             0.00046931,             0.00046931,             0.00046931
                     33,                0.63662,                0.91712,                0.93235,                0.73609,                0.89027,                0.88841,                 0.6636,                0.50101,                0.91869,                0.86327,             0.00046832,             0.00046832,             0.00046832
                     34,                 0.6567,                0.98662,                 0.9487,                 0.6846,                0.91504,                0.89519,                0.66501,                0.50714,                0.94552,                0.86919,             0.00046733,             0.00046733,             0.00046733
                     35,                0.64531,                0.93843,                 0.9299,                0.80623,                0.84783,                0.91007,                0.66257,                0.48338,                0.90548,                0.85117,             0.00046634,             0.00046634,             0.00046634
                     36,                0.63294,                0.92966,                0.95195,                0.75169,                0.96897,                0.91264,                0.67419,                0.50308,                0.85694,                0.86628,             0.00046535,             0.00046535,             0.00046535
                     37,                0.63345,                0.94289,                0.94878,                0.71045,                0.94221,                0.89164,                0.67024,                0.51246,                0.86049,                0.86313,             0.00046436,             0.00046436,             0.00046436
                     38,                0.63736,                0.94456,                0.93066,                0.69861,                0.93932,                0.90461,                0.69532,                0.46705,                 0.8523,                0.85569,             0.00046337,             0.00046337,             0.00046337
                     39,                0.61096,                 0.8958,                0.91694,                0.76833,                0.92369,                0.91773,                0.66309,                0.45539,                0.86918,                0.84535,             0.00046238,             0.00046238,             0.00046238
                     40,                0.60711,                0.93783,                0.91888,                 0.7028,                0.98239,                0.90911,                0.66584,                0.43189,                0.89177,                0.83318,             0.00046139,             0.00046139,             0.00046139
                     41,                0.58983,                0.94342,                0.90129,                0.75345,                0.93875,                0.90395,                0.64704,                0.41987,                0.90401,                0.82522,              0.0004604,              0.0004604,              0.0004604
                     42,                0.61938,                0.92201,                0.92724,                0.73355,                0.92863,                0.90033,                0.66984,                0.43696,                0.88219,                0.83504,             0.00045941,             0.00045941,             0.00045941
                     43,                0.57571,                0.90842,                0.88651,                0.78439,                0.88999,                0.89179,                 0.6465,                0.43518,                0.88466,                0.83402,             0.00045842,             0.00045842,             0.00045842
                     44,                0.62307,                0.93248,                 0.9144,                0.66895,                0.96915,                0.90543,                0.64516,                 0.4458,                0.88636,                0.83175,             0.00045743,             0.00045743,             0.00045743
                     45,                0.61505,                0.94012,                0.92263,                0.75748,                0.93952,                0.89658,                0.65192,                0.43946,                0.88401,                0.83041,             0.00045644,             0.00045644,             0.00045644
                     46,                0.57799,                0.91912,                0.91044,                0.73552,                0.88911,                0.88744,                0.62246,                0.45498,                0.91028,                0.83419,             0.00045545,             0.00045545,             0.00045545
                     47,                0.57339,                0.92577,                0.90921,                0.72351,                0.90784,                0.89262,                0.64273,                0.40985,                 0.8956,                0.82191,             0.00045446,             0.00045446,             0.00045446
                     48,                0.55795,                0.90301,                0.90898,                0.74452,                0.95107,                0.91862,                 0.6702,                0.38753,                0.88285,                0.81745,             0.00045347,             0.00045347,             0.00045347
                     49,                0.55357,                0.90939,                0.91241,                0.78108,                0.97802,                  0.926,                0.67615,                0.40009,                0.85373,                 0.8246,             0.00045248,             0.00045248,             0.00045248
                     50,                0.54889,                0.92967,                0.90774,                0.71547,                0.98828,                0.93413,                  0.686,                 0.3998,                0.86151,                0.82915,             0.00045149,             0.00045149,             0.00045149
                     51,                0.56633,                0.89065,                0.91685,                 0.6804,                0.94631,                0.92027,                0.67519,                0.40704,                0.86305,                0.82758,              0.0004505,              0.0004505,              0.0004505
                     52,                0.55591,                0.88706,                 0.8995,                0.69188,                 0.9316,                0.87965,                0.68138,                 0.3887,                0.85656,                0.82054,             0.00044951,             0.00044951,             0.00044951
                     53,                0.54095,                0.89683,                 0.9041,                0.70102,                0.95209,                0.90474,                0.65829,                0.39595,                0.84217,                0.81756,             0.00044852,             0.00044852,             0.00044852
                     54,                0.53692,                0.91132,                0.90317,                0.66962,                0.94308,                0.89652,                0.67757,                0.40042,                0.86518,                0.81934,             0.00044753,             0.00044753,             0.00044753
                     55,                0.56092,                0.90097,                0.91233,                0.77218,                0.91988,                0.91623,                0.68668,                0.40428,                0.84742,                0.82441,             0.00044654,             0.00044654,             0.00044654
                     56,                0.55443,                0.90757,                0.92465,                0.69203,                0.94756,                0.90661,                0.69197,                0.40363,                0.83497,                0.82454,             0.00044555,             0.00044555,             0.00044555
                     57,                0.52931,                0.88114,                0.89451,                0.73934,                0.95292,                0.89604,                0.66954,                0.41567,                0.83152,                0.81675,             0.00044456,             0.00044456,             0.00044456
                     58,                0.52731,                0.88194,                0.88068,                0.72496,                0.93328,                0.90435,                0.67256,                0.42489,                0.82476,                0.81713,             0.00044357,             0.00044357,             0.00044357
                     59,                0.52341,                0.87926,                0.88437,                0.67456,                0.96678,                0.88994,                0.66817,                0.38234,                0.84194,                 0.8088,             0.00044258,             0.00044258,             0.00044258
                     60,                0.49343,                0.86024,                0.87884,                0.68257,                0.94517,                0.90969,                0.67848,                0.38182,                0.83374,                0.81265,             0.00044159,             0.00044159,             0.00044159
                     61,                0.52568,                0.87597,                0.88915,                0.71512,                0.89477,                0.90691,                0.66696,                0.39169,                0.83284,                0.81646,              0.0004406,              0.0004406,              0.0004406
                     62,                0.50139,                0.86286,                0.89163,                 0.6755,                0.89938,                0.89258,                0.66225,                0.38794,                 0.8369,                0.81755,             0.00043961,             0.00043961,             0.00043961
                     63,                0.48196,                0.83614,                0.86997,                0.74516,                0.93293,                0.90728,                 0.6955,                0.37126,                0.82484,                0.81561,             0.00043862,             0.00043862,             0.00043862
                     64,                0.50829,                0.83931,                 0.8875,                0.72225,                0.95206,                0.92468,                0.70897,                0.38724,                0.82956,                0.82094,             0.00043763,             0.00043763,             0.00043763
                     65,                0.48812,                0.82849,                0.87715,                0.67794,                0.92313,                0.89531,                0.67491,                0.38721,                0.83817,                 0.8344,             0.00043664,             0.00043664,             0.00043664
                     66,                0.51434,                0.86183,                0.90096,                0.74514,                0.89005,                0.90662,                0.68537,                 0.3704,                0.86402,                0.82379,             0.00043565,             0.00043565,             0.00043565
                     67,                0.51741,                 0.8796,                0.89051,                0.79351,                0.88885,                0.91334,                0.67156,                0.37042,                0.86619,                0.81545,             0.00043466,             0.00043466,             0.00043466
                     68,                0.50724,                0.89021,                0.86902,                0.71363,                0.86366,                0.90492,                0.65504,                0.38615,                0.87097,                0.82348,             0.00043367,             0.00043367,             0.00043367
                     69,                0.50287,                 0.8401,                0.89852,                0.80389,                0.90469,                  0.912,                0.66621,                0.38381,                0.88849,                0.81056,             0.00043268,             0.00043268,             0.00043268
                     70,                0.52515,                0.88114,                0.89777,                0.76987,                0.95739,                 0.9132,                0.65229,                0.39148,                0.87499,                0.81966,             0.00043169,             0.00043169,             0.00043169
                     71,                0.50348,                0.84222,                 0.9036,                0.79287,                0.92772,                0.91317,                0.66734,                0.36716,                0.86976,                0.81191,              0.0004307,              0.0004307,              0.0004307
                     72,                0.48843,                 0.8167,                0.89297,                0.69701,                0.92981,                0.92906,                 0.6828,                0.36705,                0.85165,                0.81056,             0.00042971,             0.00042971,             0.00042971
                     73,                 0.4756,                0.86317,                  0.885,                 0.8216,                0.84592,                0.91316,                0.65039,                0.34228,                0.85557,                0.80419,             0.00042872,             0.00042872,             0.00042872
                     74,                0.48976,                0.82898,                0.88289,                0.72437,                0.90123,                0.88878,                0.64069,                  0.352,                0.86876,                  0.804,             0.00042773,             0.00042773,             0.00042773
                     75,                0.48309,                0.86278,                0.87092,                0.62095,                0.96185,                0.89605,                0.66378,                0.33215,                0.85368,                0.79975,             0.00042674,             0.00042674,             0.00042674
                     76,                0.50315,                0.84925,                 0.8786,                0.68737,                0.92379,                0.89519,                0.66717,                0.36541,                0.84395,                0.80874,             0.00042575,             0.00042575,             0.00042575
                     77,                0.48242,                0.86972,                0.88453,                0.69773,                0.95904,                0.89215,                0.67008,                0.35608,                0.84527,                0.80805,             0.00042476,             0.00042476,             0.00042476
                     78,                0.49821,                0.82876,                0.86839,                0.75675,                0.89965,                0.90047,                  0.672,                0.34947,                0.85709,                0.81009,             0.00042377,             0.00042377,             0.00042377
                     79,                0.47622,                  0.863,                0.89193,                0.76672,                0.94187,                0.91421,                0.68155,                0.33048,                0.84385,                0.80038,             0.00042278,             0.00042278,             0.00042278
                     80,                0.43953,                0.82817,                0.87437,                0.70954,                0.95218,                0.91487,                0.68172,                0.31983,                0.83013,                0.79553,             0.00042179,             0.00042179,             0.00042179
                     81,                0.45685,                 0.8438,                0.86644,                0.73632,                0.93499,                0.89424,                0.68542,                0.30712,                0.84431,                0.79211,              0.0004208,              0.0004208,              0.0004208
                     82,                0.45905,                0.85854,                 0.8811,                0.68455,                0.93019,                 0.8934,                 0.6896,                0.31527,                0.84342,                0.79565,             0.00041981,             0.00041981,             0.00041981
                     83,                0.43588,                0.82648,                0.85547,                 0.6626,                0.93521,                0.89193,                0.70381,                0.33006,                0.84369,                0.79859,             0.00041882,             0.00041882,             0.00041882
                     84,                0.45813,                0.82539,                0.87843,                0.66753,                0.94331,                0.88193,                0.67784,                0.34772,                0.85124,                0.80863,             0.00041783,             0.00041783,             0.00041783
                     85,                0.43978,                0.80058,                0.86627,                 0.6453,                0.94205,                0.89009,                0.69134,                 0.3386,                0.84618,                0.81538,             0.00041684,             0.00041684,             0.00041684
                     86,                0.47045,                0.83507,                0.88568,                0.75694,                0.90419,                0.90275,                0.68641,                  0.335,                0.84514,                0.82913,             0.00041585,             0.00041585,             0.00041585
                     87,                0.46618,                0.82514,                0.86501,                 0.7573,                0.89996,                0.89654,                0.68436,                0.33708,                0.83983,                0.82137,             0.00041486,             0.00041486,             0.00041486
                     88,                0.43358,                0.80621,                0.86263,                0.83543,                0.90713,                0.91212,                0.69534,                0.33566,                0.84429,                0.82053,             0.00041387,             0.00041387,             0.00041387
                     89,                0.45108,                0.85081,                0.85377,                0.77742,                0.91185,                0.89795,                0.70002,                0.33011,                0.85758,                 0.8115,             0.00041288,             0.00041288,             0.00041288
                     90,                0.45873,                0.80946,                0.87492,                0.79013,                0.93864,                0.90837,                0.69194,                0.35268,                0.85185,                0.86211,             0.00041189,             0.00041189,             0.00041189
                     91,                 0.4418,                0.81084,                0.87491,                0.69506,                0.90327,                0.91384,                0.69382,                0.34559,                0.82958,                0.86513,              0.0004109,              0.0004109,              0.0004109
                     92,                0.43346,                0.82185,                 0.8625,                0.72939,                0.91607,                0.91604,                0.69079,                0.34438,                0.85451,                0.81866,             0.00040991,             0.00040991,             0.00040991
                     93,                0.45384,                 0.8404,                0.87248,                0.76039,                0.87593,                0.92473,                 0.7132,                0.30765,                 0.8345,                0.80372,             0.00040892,             0.00040892,             0.00040892
                     94,                0.43432,                0.80756,                0.86132,                0.75284,                0.89722,                0.91937,                0.71614,                0.30584,                0.84275,                    0.8,             0.00040793,             0.00040793,             0.00040793
                     95,                0.40687,                0.80886,                0.86193,                0.72266,                0.95739,                0.91173,                0.70355,                0.28445,                0.83127,                0.79354,             0.00040694,             0.00040694,             0.00040694
                     96,                0.42912,                0.83072,                0.87291,                0.80661,                0.87982,                0.91856,                0.68961,                0.31688,                0.85694,                0.80181,             0.00040595,             0.00040595,             0.00040595
